Ralph	Wiggum	5554445555
Homer	Simpson	5551234567
Ned	Flanders	5556789012
Montgomery	Burns	5557891234
Waylon	Smithers	5558901234
Moe	Szyslak	5559012345
Marge	Simpson	5552345678
Barney	Gumble	5556123456
Bart	Simpson	5553456789
Lenny	Leonard	5551112222
Carl	Carlson	5552223333
Milhouse	Van-Houten	5553334444
Chief	Wiggum	5555556666
Lisa	Simpson	5554567891
Seymour	Skinner	5556667777
Edna	Krabappel	5557778888
Apu	Nahasapeemapetilon	5558889999
Maggie	Simpson	5555678901
Patty	Bouvier	5559991234
Selma	Bouvier	5551231111
